East,North,Elevation,Var_1,Var_2,Var_3
   105.849,   159.003,    -0.000,     0.242,     0.206,     0.160
   107.596,   158.942,    -1.748,     0.256,     0.207,     0.156
   109.343,   158.882,    -3.496,     0.292,     0.202,     0.170
   111.090,   158.821,    -5.244,     0.298,     0.186,     0.159
   112.837,   158.761,    -6.992,     0.290,     0.201,     0.170
   114.584,   158.700,    -8.740,     0.301,     0.198,     0.192
   116.331,   158.639,   -10.488,     0.287,     0.195,     0.184
   118.078,   158.579,   -12.236,     0.298,     0.185,     0.175
   119.825,   158.518,   -13.985,     0.320,     0.190,     0.195
   121.572,   158.458,   -15.733,     0.324,     0.189,     0.199
   123.319,   158.397,   -17.481,     0.341,     0.197,     0.201
   125.066,   158.337,   -19.229,     0.339,     0.199,     0.190
   126.813,   158.276,   -20.977,     0.336,     0.198,     0.191
   128.560,   158.216,   -22.725,     0.382,     0.209,     0.199
   130.307,   158.155,   -24.473,     0.393,     0.207,     0.189
   132.054,   158.094,   -26.221,     0.374,     0.194,     0.191
   133.801,   158.034,   -27.969,     0.364,     0.199,     0.201
   135.548,   157.973,   -29.717,     0.364,     0.206,     0.199
   137.295,   157.913,   -31.465,     0.357,     0.194,     0.205
   139.042,   157.852,   -33.213,     0.370,     0.197,     0.220
   140.789,   157.792,   -34.961,     0.346,     0.193,     0.213
   142.536,   157.731,   -36.709,     0.377,     0.210,     0.212
   144.283,   157.671,   -38.457,     0.346,     0.217,     0.213
   146.030,   157.610,   -40.206,     0.332,     0.221,     0.200
   147.777,   157.550,   -41.954,     0.335,     0.212,     0.215
   149.524,   157.489,   -43.702,     0.340,     0.195,     0.209
   151.271,   157.428,   -45.450,     0.333,     0.204,     0.204
   153.019,   157.368,   -47.198,     0.363,     0.190,     0.216
   154.766,   157.307,   -48.946,     0.347,     0.203,     0.223
   156.513,   157.247,   -50.694,     0.352,     0.205,     0.201
   158.260,   157.186,   -52.442,     0.372,     0.220,     0.204
   160.007,   157.126,   -54.190,     0.358,     0.223,     0.205
   161.754,   157.065,   -55.938,     0.369,     0.232,     0.205
   163.501,   157.005,   -57.686,     0.378,     0.222,     0.204
   165.248,   156.944,   -59.434,     0.400,     0.228,     0.204
   166.995,   156.883,   -61.182,     0.397,     0.225,     0.204
   168.742,   156.823,   -62.930,     0.387,     0.214,     0.204
   170.489,   156.762,   -64.678,     0.446,     0.219,     0.232
   172.236,   156.702,   -66.426,     0.427,     0.221,     0.231
   173.983,   156.641,   -68.175,     0.432,     0.218,     0.220
   175.730,   156.581,   -69.923,     0.443,     0.227,     0.218
   177.477,   156.520,   -71.671,     0.472,     0.238,     0.229
   179.224,   156.460,   -73.419,     0.435,     0.234,     0.235
   180.971,   156.399,   -75.167,     0.424,     0.216,     0.239
   182.718,   156.338,   -76.915,     0.415,     0.222,     0.228
   184.465,   156.278,   -78.663,     0.384,     0.239,     0.206
   186.212,   156.217,   -80.411,     0.375,     0.246,     0.218
   187.959,   156.157,   -82.159,     0.400,     0.245,     0.255
   189.706,   156.096,   -83.907,     0.443,     0.234,     0.265
